category,method,mean,mean_std,std
bottle,AE (multi-seed),0.6552380952380952,0.655 ± 0.055,0.0551304598102665
bottle,kNN,0.9944444444444444,0.994,
cable,AE (multi-seed),0.5279235382308846,0.528 ± 0.005,0.004967150779872036
cable,kNN,0.8744377811094453,0.874,
capsule,kNN,0.8755484642999601,0.876,
carpet,kNN,0.7708667736757624,0.771,
grid,kNN,0.5263157894736842,0.526,
hazelnut,AE (multi-seed),0.8904285714285713,0.89 ± 0.011,0.0111871828993938
hazelnut,kNN,0.96,0.96,
leather,kNN,0.8882472826086956,0.888,
metal_nut,kNN,0.8088954056695992,0.809,
pill,kNN,0.7326786688488816,0.733,
screw,kNN,0.8704652592744415,0.87,
tile,kNN,0.968975468975469,0.969,
toothbrush,kNN,0.9333333333333332,0.933,
transistor,kNN,0.9220833333333334,0.922,
wood,kNN,0.8640350877192983,0.864,
zipper,kNN,0.952468487394958,0.952,
