category,seed,method,auroc
bottle,0,AE,0.6238095238095238
bottle,1,AE,0.6531746031746032
bottle,2,AE,0.5944444444444444
bottle,3,AE,0.7412698412698413
bottle,4,AE,0.6634920634920635
cable,0,AE,0.5204272863568216
cable,1,AE,0.5322338830584707
cable,2,AE,0.5252998500749626
cable,3,AE,0.5311094452773614
cable,4,AE,0.5305472263868066
hazelnut,0,AE,0.8867857142857143
hazelnut,1,AE,0.8875
hazelnut,2,AE,0.9060714285714285
hazelnut,3,AE,0.8957142857142857
hazelnut,4,AE,0.8760714285714285
